date,temp,humidity,wind,pressure,taluk
2020-02-05,24.92,72.42,1.35,97.12,brahmavar
2020-02-06,24.81,73.28,1.76,97.15,brahmavar
2020-02-07,24.02,74.93,1.87,97.24,brahmavar
2020-02-08,22.71,71.11,1.59,97.3,brahmavar
2020-02-09,23.26,64.98,1.2,97.2,brahmavar
2020-02-10,25.25,67.37,1.19,97.11,brahmavar
2020-02-11,26.32,61.16,1.56,97.09,brahmavar
2020-02-12,26.06,59.85,1.61,97.25,brahmavar
2020-02-13,25.6,59.81,1.51,97.22,brahmavar
2020-02-14,25.66,60.09,1.05,97.09,brahmavar
2020-02-15,26.05,57.96,1.35,97.08,brahmavar
2020-02-16,25.72,53.35,1.11,97.1,brahmavar
2020-02-17,25.5,52.41,1.47,97.17,brahmavar
2020-02-18,25.87,51.09,1.18,97.14,brahmavar
2020-02-19,26.43,56.94,0.61,97.1,brahmavar
2020-02-20,26.42,60.95,1.03,97.05,brahmavar
2020-02-21,26.13,50.67,1.16,97.16,brahmavar
2020-02-22,25.83,49.3,1.86,97.24,brahmavar
2020-02-23,26.45,51.85,1.63,97.14,brahmavar
2020-02-24,26.58,56.77,1.57,96.98,brahmavar
2020-02-25,26.5,63.7,1.02,96.95,brahmavar
2020-02-26,27.33,62.53,1.28,96.94,brahmavar
2020-02-27,28.07,63.68,1.06,96.96,brahmavar
2020-02-28,27.96,64.42,1.31,96.86,brahmavar
2020-02-29,27.03,70.33,1.18,96.87,brahmavar
2020-03-01,27.09,71.5,1.26,96.97,brahmavar
2020-03-02,26.88,71.98,1.37,97.04,brahmavar
2020-03-03,26.6,70.92,1.99,97.1,brahmavar
2020-03-04,25.9,69.65,2.24,97.06,brahmavar
2020-03-05,25.19,71.55,1.98,96.97,brahmavar
2020-03-06,25.16,68.81,1.47,97.02,brahmavar
2020-03-07,25.55,67.13,1.5,97.12,brahmavar
2020-03-08,26.39,69.79,1.49,97.08,brahmavar
2020-03-09,26.88,70.22,1.91,96.97,brahmavar
2020-03-10,27.12,67.9,1.75,96.94,brahmavar
2020-03-11,26.67,71.43,1.76,97.01,brahmavar
2020-03-12,26.82,69.44,1.68,97.09,brahmavar
2020-03-13,26.89,67.68,2.26,97.07,brahmavar
2020-03-14,27.57,62.24,1.89,96.94,brahmavar
2020-03-15,27.94,59.86,1.55,96.88,brahmavar
2020-03-16,28.11,62.54,1.26,96.99,brahmavar
2020-03-17,28.75,59.17,1.48,97.06,brahmavar
2020-03-18,28.75,61.62,1.4,97.11,brahmavar
2020-03-19,28.56,61.88,1.58,97.06,brahmavar
2020-03-20,28.29,60.02,1.75,97.06,brahmavar
2020-03-21,27.35,56.99,1.94,97.03,brahmavar
2020-03-22,27.18,60.96,1.41,97.03,brahmavar
2020-03-23,28.5,61.45,1.43,96.92,brahmavar
2020-03-24,28.36,64.08,1.46,96.8,brahmavar
2020-03-25,28.04,66.66,1.27,96.81,brahmavar
2020-03-26,29.2,60.71,1.36,96.79,brahmavar
2020-03-27,28.88,66.14,1.35,97.0,brahmavar
2020-03-28,28.96,63.97,1.44,96.91,brahmavar
2020-03-29,28.76,63.72,1.41,96.84,brahmavar
2020-03-30,29.29,63.09,1.39,96.89,brahmavar
2020-03-31,29.32,61.05,1.32,96.92,brahmavar
2020-04-01,29.67,60.19,1.32,96.89,brahmavar
2020-04-02,29.04,66.26,1.69,96.85,brahmavar
2020-04-03,29.39,62.68,1.47,96.86,brahmavar
2020-04-04,29.52,64.23,1.38,96.95,brahmavar
2020-04-05,29.07,66.83,1.44,97.07,brahmavar
2020-04-06,28.52,68.84,1.46,97.07,brahmavar
2020-04-07,28.28,68.61,1.41,97.0,brahmavar
2020-04-08,28.9,62.57,1.53,97.02,brahmavar
2020-04-09,29.67,55.36,1.83,96.93,brahmavar
2020-04-10,29.11,60.4,1.64,96.99,brahmavar
2020-04-11,28.86,63.61,1.22,97.08,brahmavar
2020-04-12,29.2,64.11,1.07,97.04,brahmavar
2020-04-13,29.82,60.83,1.34,96.88,brahmavar
2020-04-14,30.04,57.77,1.25,96.87,brahmavar
2020-04-15,29.84,58.66,1.24,97.0,brahmavar
2020-04-16,29.04,65.44,1.62,96.94,brahmavar
2020-04-17,29.68,62.37,1.52,96.84,brahmavar
2020-04-18,28.97,68.51,1.54,96.91,brahmavar
2020-04-19,30.4,63.56,1.39,96.77,brahmavar
2020-04-20,29.74,67.96,1.49,96.81,brahmavar
2020-04-21,29.39,70.3,1.42,96.89,brahmavar
2020-04-22,29.09,69.1,1.47,96.86,brahmavar
2020-04-23,29.19,68.4,1.69,96.87,brahmavar
2020-04-24,28.57,70.26,1.69,96.85,brahmavar
2020-04-25,27.91,75.49,1.64,96.84,brahmavar
2020-04-26,29.02,70.76,1.38,96.85,brahmavar
2020-04-27,29.48,64.37,1.93,96.95,brahmavar
2020-04-28,29.37,66.45,1.94,96.85,brahmavar
2020-04-29,28.08,70.94,1.66,96.9,brahmavar
2020-04-30,28.62,68.82,1.41,96.95,brahmavar
2020-05-01,28.48,71.79,1.55,96.93,brahmavar
2020-05-02,28.98,70.98,1.56,96.77,brahmavar
2020-05-03,29.12,72.94,1.56,96.74,brahmavar
2020-05-04,29.59,70.84,1.43,96.83,brahmavar
2020-05-05,29.73,67.7,1.35,96.76,brahmavar
2020-05-06,28.9,72.84,1.27,96.75,brahmavar
2020-05-07,28.21,75.06,1.08,96.81,brahmavar
2020-05-08,28.11,77.18,1.25,96.8,brahmavar
2020-05-09,29.07,73.02,1.28,96.76,brahmavar
2020-05-10,29.51,69.79,1.38,96.79,brahmavar
2020-05-11,29.28,70.42,1.19,96.76,brahmavar
2020-05-12,29.31,72.8,1.06,96.73,brahmavar
2020-05-13,28.85,73.58,1.34,96.7,brahmavar
2020-05-14,29.01,73.67,1.61,96.62,brahmavar
2020-05-15,27.83,81.28,1.31,96.56,brahmavar
2020-05-16,27.87,80.2,1.51,96.55,brahmavar
2020-05-17,27.34,83.89,1.86,96.55,brahmavar
2020-05-18,26.44,87.54,2.36,96.55,brahmavar
2020-05-19,27.28,81.08,2.54,96.53,brahmavar
2020-05-20,27.89,74.9,1.6,96.53,brahmavar
2020-05-21,27.29,76.74,1.08,96.67,brahmavar
2020-05-22,27.82,75.57,1.67,96.7,brahmavar
2020-05-23,28.03,77.39,1.64,96.7,brahmavar
2020-05-24,27.99,77.31,1.66,96.78,brahmavar
2020-05-25,27.79,78.07,1.49,96.82,brahmavar
2020-05-26,27.7,81.3,1.51,96.84,brahmavar
2020-05-27,27.71,80.37,1.76,96.83,brahmavar
2020-05-28,26.82,77.39,1.74,96.79,brahmavar
2020-05-29,26.35,81.28,1.68,96.78,brahmavar
2020-05-30,27.22,80.89,1.51,96.7,brahmavar
2020-05-31,25.76,89.15,2.19,96.74,brahmavar
2020-06-01,25.88,86.43,2.07,96.79,brahmavar
2020-06-02,26.17,88.51,3.41,96.68,brahmavar
2020-06-03,25.81,89.45,3.17,96.68,brahmavar
2020-06-04,25.9,83.4,2.25,96.79,brahmavar
2020-06-05,26.15,81.83,1.96,96.85,brahmavar
2020-06-06,25.85,82.37,1.75,96.85,brahmavar
2020-06-07,26.1,82.42,1.65,96.78,brahmavar
2020-06-08,25.85,83.54,1.68,96.79,brahmavar
2020-06-09,25.89,83.43,1.51,96.78,brahmavar
2020-06-10,26.17,86.29,1.97,96.66,brahmavar
2020-06-11,25.31,88.12,2.5,96.49,brahmavar
2020-06-12,24.77,84.89,3.05,96.47,brahmavar
2020-06-13,25.49,81.94,2.8,96.55,brahmavar
2020-06-14,25.66,86.77,2.57,96.67,brahmavar
2020-06-15,26.2,88.76,2.63,96.55,brahmavar
2020-06-16,26.41,90.03,2.69,96.48,brahmavar
2020-06-17,25.6,92.1,2.42,96.54,brahmavar
2020-06-18,24.88,91.19,1.76,96.72,brahmavar
2020-06-19,25.31,89.49,1.55,96.78,brahmavar
2020-06-20,25.39,81.59,1.4,96.8,brahmavar
2020-06-21,25.28,89.79,1.91,96.68,brahmavar
2020-06-22,25.19,89.26,2.03,96.62,brahmavar
2020-06-23,24.97,84.78,1.37,96.68,brahmavar
2020-06-24,25.18,85.6,1.63,96.68,brahmavar
2020-06-25,25.12,85.53,1.7,96.52,brahmavar
2020-06-26,24.6,88.47,1.66,96.5,brahmavar
2020-06-27,25.36,88.83,2.06,96.55,brahmavar
2020-06-28,25.58,89.0,2.23,96.59,brahmavar
2020-06-29,25.48,90.58,2.1,96.5,brahmavar
2020-06-30,24.63,88.82,2.05,96.51,brahmavar
2020-07-01,24.84,87.31,1.82,96.63,brahmavar
2020-07-02,24.2,91.13,2.38,96.69,brahmavar
2020-07-03,25.09,89.57,3.0,96.63,brahmavar
2020-07-04,25.37,89.37,2.95,96.57,brahmavar
2020-07-05,24.75,90.47,2.25,96.61,brahmavar
2020-07-06,25.62,87.68,2.83,96.56,brahmavar
2020-07-07,24.97,89.72,2.84,96.65,brahmavar
2020-07-08,24.8,89.37,2.01,96.75,brahmavar
2020-07-09,24.48,91.92,2.19,96.66,brahmavar
2020-07-10,23.99,90.44,1.9,96.76,brahmavar
2020-07-11,24.31,87.06,1.5,96.74,brahmavar
2020-07-12,23.58,89.27,1.6,96.69,brahmavar
2020-07-13,23.91,90.53,1.81,96.61,brahmavar
2020-07-14,24.42,91.87,2.21,96.61,brahmavar
2020-07-15,24.04,91.45,2.08,96.6,brahmavar
2020-07-16,24.55,91.86,2.12,96.49,brahmavar
2020-07-17,24.46,91.44,2.3,96.47,brahmavar
2020-07-18,24.51,92.12,2.12,96.57,brahmavar
2020-07-19,24.2,91.62,1.5,96.66,brahmavar
2020-07-20,24.35,91.61,1.47,96.49,brahmavar
2020-07-21,25.05,86.51,1.12,96.51,brahmavar
2020-07-22,25.33,88.36,1.15,96.56,brahmavar
2020-07-23,25.24,90.26,1.07,96.52,brahmavar
2020-07-24,24.74,88.28,1.59,96.63,brahmavar
2020-07-25,23.85,90.97,1.88,96.65,brahmavar
2020-07-26,24.02,89.88,2.0,96.91,brahmavar
2020-07-27,24.42,88.69,1.3,96.86,brahmavar
2020-07-28,24.7,89.96,1.77,96.67,brahmavar
2020-07-29,24.56,92.03,2.31,96.55,brahmavar
2020-07-30,24.62,91.66,2.12,96.55,brahmavar
2020-07-31,24.54,91.86,1.84,96.56,brahmavar
2020-08-01,24.16,91.72,1.96,96.61,brahmavar
2020-08-02,24.11,91.3,2.5,96.63,brahmavar
2020-08-03,24.66,92.86,2.92,96.52,brahmavar
2020-08-04,24.24,93.3,3.63,96.45,brahmavar
2020-08-05,24.54,92.75,4.26,96.27,brahmavar
2020-08-06,25.35,92.89,3.88,96.36,brahmavar
2020-08-07,25.16,93.61,3.15,96.67,brahmavar
2020-08-08,24.1,92.68,2.71,96.77,brahmavar
2020-08-09,24.4,93.5,2.28,96.69,brahmavar
2020-08-10,24.51,94.96,2.36,96.65,brahmavar
2020-08-11,24.38,92.8,2.04,96.84,brahmavar
2020-08-12,24.43,92.6,2.0,96.92,brahmavar
2020-08-13,24.44,92.41,1.89,96.78,brahmavar
2020-08-14,24.42,91.48,2.09,96.64,brahmavar
2020-08-15,24.59,91.3,2.37,96.68,brahmavar
2020-08-16,24.63,91.78,2.17,96.72,brahmavar
2020-08-17,24.81,91.06,2.25,96.65,brahmavar
2020-08-18,24.73,91.37,2.01,96.71,brahmavar
2020-08-19,24.73,90.62,2.01,96.64,brahmavar
2020-08-20,24.91,90.64,2.11,96.64,brahmavar
2020-08-21,24.73,91.75,1.86,96.77,brahmavar
2020-08-22,24.88,91.23,1.76,96.86,brahmavar
2020-08-23,24.95,90.21,1.55,96.82,brahmavar
2020-08-24,25.02,89.56,1.7,96.83,brahmavar
2020-08-25,25.04,87.11,1.61,96.93,brahmavar
2020-08-26,24.76,86.4,1.52,96.93,brahmavar
2020-08-27,24.68,86.79,1.64,96.86,brahmavar
2020-08-28,24.49,88.01,1.45,96.76,brahmavar
2020-08-29,24.93,89.35,1.63,96.74,brahmavar
2020-08-30,25.04,90.01,1.44,96.78,brahmavar
2020-08-31,24.87,89.66,1.17,96.83,brahmavar
2020-09-01,24.92,91.36,1.7,96.78,brahmavar
2020-09-02,24.95,91.56,1.81,96.68,brahmavar
2020-09-03,24.28,91.14,1.29,96.63,brahmavar
2020-09-04,24.98,89.43,1.12,96.58,brahmavar
2020-09-05,25.28,91.86,1.51,96.5,brahmavar
2020-09-06,25.76,88.42,1.52,96.48,brahmavar
2020-09-07,25.35,89.16,1.51,96.61,brahmavar
2020-09-08,25.54,89.12,1.98,96.64,brahmavar
2020-09-09,25.05,90.87,1.78,96.57,brahmavar
2020-09-10,24.72,92.65,2.16,96.4,brahmavar
2020-09-11,24.29,91.28,2.39,96.55,brahmavar
2020-09-12,23.88,90.35,2.21,96.81,brahmavar
2020-09-13,23.51,91.44,1.63,96.89,brahmavar
2020-09-14,23.85,88.6,1.4,96.81,brahmavar
2020-09-15,24.07,89.74,1.32,96.76,brahmavar
2020-09-16,24.77,89.74,1.76,96.77,brahmavar
2020-09-17,24.63,91.37,1.61,96.81,brahmavar
2020-09-18,24.25,91.79,2.31,96.73,brahmavar
2020-09-19,24.24,93.48,2.28,96.53,brahmavar
2020-09-20,23.78,92.4,2.8,96.5,brahmavar
2020-09-21,23.25,88.0,3.2,96.55,brahmavar
2020-09-22,23.69,87.13,2.41,96.66,brahmavar
2020-09-23,24.12,89.53,1.76,96.74,brahmavar
2020-09-24,23.95,89.6,1.39,96.91,brahmavar
2020-09-25,24.35,90.15,1.62,96.85,brahmavar
2020-09-26,23.76,92.39,1.53,96.86,brahmavar
2020-09-27,24.11,86.12,1.1,96.92,brahmavar
2020-09-28,24.39,86.52,1.48,96.89,brahmavar
2020-09-29,24.56,88.92,1.99,96.78,brahmavar
2020-09-30,24.15,88.51,1.72,96.74,brahmavar
2020-10-01,23.83,87.19,1.13,96.8,brahmavar
2020-10-02,24.28,85.65,1.5,96.79,brahmavar
2020-10-03,23.98,89.47,1.48,96.86,brahmavar
2020-10-04,23.99,87.9,1.61,96.96,brahmavar
2020-10-05,23.87,86.61,1.39,96.88,brahmavar
2020-10-06,24.78,88.03,1.64,96.79,brahmavar
2020-10-07,25.39,88.55,1.64,96.82,brahmavar
2020-10-08,25.81,86.42,1.15,96.75,brahmavar
2020-10-09,25.26,88.27,1.27,96.75,brahmavar
2020-10-10,24.24,89.59,1.11,96.79,brahmavar
2020-10-11,24.15,88.16,1.67,96.64,brahmavar
2020-10-12,24.01,93.59,2.03,96.43,brahmavar
2020-10-13,23.75,91.93,2.66,96.4,brahmavar
2020-10-14,24.38,93.11,2.79,96.46,brahmavar
2020-10-15,24.2,90.03,2.32,96.49,brahmavar
2020-10-16,24.36,88.2,1.82,96.53,brahmavar
2020-10-17,24.29,87.44,1.43,96.64,brahmavar
2020-10-18,24.36,85.69,0.97,96.73,brahmavar
2020-10-19,24.37,86.75,1.15,96.72,brahmavar
2020-10-20,24.33,89.98,1.54,96.68,brahmavar
2020-10-21,24.1,91.49,1.3,96.74,brahmavar
2020-10-22,24.09,89.12,1.09,96.71,brahmavar
2020-10-23,24.3,91.47,1.7,96.72,brahmavar
2020-10-24,24.36,92.05,1.75,96.84,brahmavar
2020-10-25,24.44,86.26,1.45,96.96,brahmavar
2020-10-26,25.24,83.53,0.79,96.95,brahmavar
2020-10-27,25.67,82.42,0.81,96.88,brahmavar
2020-10-28,25.05,81.79,1.02,96.95,brahmavar
2020-10-29,24.57,80.04,1.23,96.97,brahmavar
2020-10-30,25.02,80.58,1.0,96.93,brahmavar
2020-10-31,25.01,79.88,0.91,96.92,brahmavar
2020-11-01,25.04,82.67,0.88,97.01,brahmavar
2020-11-02,25.4,79.79,0.8,97.06,brahmavar
2020-11-03,25.68,82.26,0.82,97.02,brahmavar
2020-11-04,25.6,83.99,0.6,96.99,brahmavar
2020-11-05,24.76,81.97,1.06,97.01,brahmavar
2020-11-06,26.03,81.66,1.03,97.08,brahmavar
2020-11-07,25.71,84.56,0.98,97.13,brahmavar
2020-11-08,26.19,82.61,1.27,97.15,brahmavar
2020-11-09,25.1,80.58,1.54,97.09,brahmavar
2020-11-10,23.21,73.28,1.69,96.91,brahmavar
2020-11-11,22.68,74.56,1.64,96.95,brahmavar
2020-11-12,25.02,84.44,1.51,96.91,brahmavar
2020-11-13,26.05,83.01,1.05,96.91,brahmavar
2020-11-14,25.52,83.12,1.27,96.83,brahmavar
2020-11-15,25.89,80.97,1.8,96.78,brahmavar
2020-11-16,26.03,83.5,1.13,96.83,brahmavar
2020-11-17,25.6,82.92,1.5,96.79,brahmavar
2020-11-18,25.88,79.41,0.78,96.84,brahmavar
2020-11-19,25.68,80.51,1.16,96.88,brahmavar
2020-11-20,25.84,78.8,0.71,96.96,brahmavar
2020-11-21,24.66,73.57,0.87,97.03,brahmavar
2020-11-22,23.8,70.81,1.12,97.09,brahmavar
2020-11-23,23.67,73.06,1.29,97.1,brahmavar
2020-11-24,24.57,81.36,1.16,96.98,brahmavar
2020-11-25,25.22,79.59,1.45,96.85,brahmavar
2020-11-26,24.51,81.45,1.57,96.84,brahmavar
2020-11-27,23.8,78.99,2.05,96.96,brahmavar
2020-11-28,24.5,78.31,1.44,97.02,brahmavar
2020-11-29,25.48,76.46,0.93,97.08,brahmavar
2020-11-30,25.43,77.82,1.22,97.1,brahmavar
2020-12-01,24.36,75.44,1.62,97.13,brahmavar
2020-12-02,23.25,74.77,1.43,97.03,brahmavar
2020-12-03,24.11,78.91,1.54,96.92,brahmavar
2020-12-04,25.21,81.39,1.57,96.79,brahmavar
2020-12-05,25.2,79.47,1.59,96.84,brahmavar
2020-12-06,25.7,78.31,1.67,96.91,brahmavar
2020-12-07,25.9,79.43,1.51,97.02,brahmavar
2020-12-08,25.7,81.57,1.41,97.1,brahmavar
2020-12-09,25.57,81.0,1.21,97.04,brahmavar
2020-12-10,24.37,78.08,1.28,97.07,brahmavar
2020-12-11,24.63,76.81,0.8,97.08,brahmavar
2020-12-12,24.68,72.45,0.84,97.04,brahmavar
2020-12-13,24.46,76.54,0.65,96.96,brahmavar
2020-12-14,24.76,76.15,0.61,96.95,brahmavar
2020-12-15,24.33,73.55,0.83,97.06,brahmavar
2020-12-16,24.13,76.13,1.28,97.1,brahmavar
2020-12-17,25.02,76.01,1.36,97.1,brahmavar
2020-12-18,24.65,74.43,1.48,97.07,brahmavar
2020-12-19,24.13,76.29,1.69,97.11,brahmavar
2020-12-20,23.64,74.35,2.09,97.15,brahmavar
2020-12-21,22.49,69.61,1.65,97.05,brahmavar
2020-12-22,23.26,68.66,1.07,97.0,brahmavar
2020-12-23,24.52,71.54,0.75,96.94,brahmavar
2020-12-24,25.38,77.44,0.84,96.85,brahmavar
2020-12-25,25.33,78.22,0.81,96.9,brahmavar
2020-12-26,24.49,74.12,1.02,97.0,brahmavar
2020-12-27,23.11,72.95,1.24,96.99,brahmavar
2020-12-28,23.13,72.19,1.1,96.95,brahmavar
2020-12-29,23.29,71.05,1.11,96.91,brahmavar
2020-12-30,24.85,77.53,1.14,96.86,brahmavar
2020-12-31,25.66,75.6,1.1,96.91,brahmavar
2021-01-01,23.19,75.11,1.67,97.0,brahmavar
2021-01-02,23.08,74.0,1.53,97.0,brahmavar
2021-01-03,25.21,76.46,1.25,96.88,brahmavar
2021-01-04,25.33,77.58,0.67,96.88,brahmavar
2021-01-05,23.85,82.69,1.13,96.95,brahmavar
2021-01-06,24.8,83.01,1.35,96.92,brahmavar
2021-01-07,24.6,87.44,1.03,96.77,brahmavar
2021-01-08,23.93,88.46,1.07,96.73,brahmavar
2021-01-09,24.82,83.27,0.95,96.74,brahmavar
2021-01-10,25.27,80.69,0.71,96.85,brahmavar
2021-01-11,25.47,74.69,0.76,96.93,brahmavar
2021-01-12,24.85,71.3,1.34,96.95,brahmavar
2021-01-13,24.03,72.33,1.81,96.92,brahmavar
2021-01-14,24.6,73.23,1.31,96.87,brahmavar
2021-01-15,25.59,72.01,0.9,96.87,brahmavar
2021-01-16,25.55,74.97,0.67,96.8,brahmavar
2021-01-17,25.6,76.33,0.46,96.85,brahmavar
2021-01-18,25.41,71.44,0.76,96.95,brahmavar
2021-01-19,24.67,71.82,0.94,96.99,brahmavar
2021-01-20,24.41,67.4,0.84,97.06,brahmavar
2021-01-21,23.93,66.2,1.31,97.02,brahmavar
2021-01-22,24.02,70.52,1.24,96.97,brahmavar
2021-01-23,24.57,74.09,1.03,96.96,brahmavar
2021-01-24,24.56,68.49,0.95,97.04,brahmavar
2021-01-25,23.96,63.93,1.08,97.09,brahmavar
2021-01-26,23.46,62.05,0.96,97.03,brahmavar
2021-01-27,23.54,62.78,0.9,97.07,brahmavar
2021-01-28,23.37,66.15,1.03,97.08,brahmavar
2021-01-29,23.36,70.81,1.38,97.14,brahmavar
2021-01-30,23.98,71.2,1.21,97.06,brahmavar
2021-01-31,24.36,69.63,1.11,97.07,brahmavar
2021-02-01,23.41,63.35,1.97,97.19,brahmavar
2021-02-02,23.21,65.83,1.86,97.21,brahmavar
2021-02-03,24.07,69.91,1.29,97.15,brahmavar
2021-02-04,24.87,71.69,0.91,97.15,brahmavar
2021-02-05,24.15,73.91,1.03,97.11,brahmavar
2021-02-06,24.08,68.35,1.01,96.99,brahmavar
2021-02-07,23.5,58.73,1.71,97.05,brahmavar
2021-02-08,22.79,59.85,1.95,97.09,brahmavar
2021-02-09,23.1,59.37,1.54,97.05,brahmavar
2021-02-10,23.2,57.29,1.18,96.98,brahmavar
2021-02-11,23.34,56.05,1.02,96.92,brahmavar
2021-02-12,24.45,58.23,0.89,97.0,brahmavar
2021-02-13,24.34,65.98,1.22,97.11,brahmavar
2021-02-14,24.51,65.31,1.03,97.14,brahmavar
2021-02-15,24.61,69.06,1.08,97.04,brahmavar
2021-02-16,24.65,71.92,1.38,97.01,brahmavar
2021-02-17,25.26,74.18,1.69,96.96,brahmavar
2021-02-18,25.22,73.56,1.36,97.04,brahmavar
2021-02-19,22.6,74.27,1.75,97.12,brahmavar
2021-02-20,24.08,66.36,2.0,97.01,brahmavar
2021-02-21,24.61,67.47,1.83,97.12,brahmavar
2021-02-22,25.74,61.52,1.06,97.17,brahmavar
2021-02-23,26.05,65.81,1.21,97.04,brahmavar
2021-02-24,26.24,63.64,1.24,96.97,brahmavar
2021-02-25,26.39,68.05,1.28,97.02,brahmavar
2021-02-26,26.22,71.29,1.77,96.93,brahmavar
2021-02-27,26.58,67.08,1.45,96.8,brahmavar
2021-02-28,26.82,64.53,1.35,96.8,brahmavar
2021-03-01,26.98,63.44,0.97,97.09,brahmavar
2021-03-02,26.67,63.76,0.87,97.1,brahmavar
2021-03-03,26.74,57.47,0.96,96.93,brahmavar
2021-03-04,26.55,53.83,1.22,96.96,brahmavar
2021-03-05,26.58,57.92,1.0,97.12,brahmavar
2021-03-06,26.73,67.85,1.4,97.15,brahmavar
2021-03-07,27.21,59.78,1.04,97.0,brahmavar
2021-03-08,26.93,58.71,1.33,97.01,brahmavar
2021-03-09,27.23,54.45,1.14,97.06,brahmavar
2021-03-10,26.74,62.47,1.11,97.08,brahmavar
2021-03-11,25.99,68.87,1.06,97.1,brahmavar
2021-03-12,27.12,66.57,0.86,97.15,brahmavar
2021-03-13,27.17,57.23,1.01,97.08,brahmavar
2021-03-14,26.92,57.19,1.37,96.95,brahmavar
2021-03-15,27.48,64.8,1.16,96.91,brahmavar
2021-03-16,27.49,60.08,1.34,96.91,brahmavar
2021-03-17,27.69,56.9,1.22,96.81,brahmavar
2021-03-18,27.63,63.41,1.27,96.87,brahmavar
2021-03-19,28.02,63.46,1.27,96.83,brahmavar
2021-03-20,27.81,61.96,1.38,96.76,brahmavar
2021-03-21,27.82,66.4,1.23,96.74,brahmavar
2021-03-22,28.3,63.19,1.27,96.84,brahmavar
2021-03-23,28.68,64.49,1.02,96.88,brahmavar
2021-03-24,28.3,64.88,1.09,96.9,brahmavar
2021-03-25,27.92,69.11,0.98,96.88,brahmavar
2021-03-26,29.48,59.98,0.8,96.75,brahmavar
2021-03-27,29.2,62.73,1.24,96.75,brahmavar
2021-03-28,28.98,65.62,1.15,96.75,brahmavar
2021-03-29,29.16,63.39,1.27,96.74,brahmavar
2021-03-30,28.17,70.51,1.69,96.71,brahmavar
2021-03-31,28.44,69.39,1.67,96.62,brahmavar
2021-04-01,27.96,64.83,2.01,96.64,brahmavar
2021-04-02,27.43,64.72,1.76,96.69,brahmavar
2021-04-03,26.61,67.81,1.8,96.78,brahmavar
2021-04-04,27.43,63.79,1.94,96.87,brahmavar
2021-04-05,28.83,63.45,2.01,96.79,brahmavar
2021-04-06,29.29,60.86,1.33,96.8,brahmavar
2021-04-07,29.42,62.66,1.39,96.91,brahmavar
2021-04-08,28.98,62.51,1.49,96.79,brahmavar
2021-04-09,29.11,61.35,1.33,96.69,brahmavar
2021-04-10,29.25,62.98,1.16,96.79,brahmavar
2021-04-11,28.59,66.92,1.19,96.95,brahmavar
2021-04-12,28.05,72.94,1.12,97.01,brahmavar
2021-04-13,27.75,74.61,1.14,97.0,brahmavar
2021-04-14,27.36,74.78,0.92,96.95,brahmavar
2021-04-15,27.32,73.81,1.26,96.95,brahmavar
2021-04-16,27.47,74.22,1.28,96.89,brahmavar
2021-04-17,27.85,74.28,1.16,96.93,brahmavar
2021-04-18,27.96,73.28,1.2,97.04,brahmavar
2021-04-19,27.07,77.13,1.15,96.94,brahmavar
2021-04-20,27.39,74.49,1.14,96.83,brahmavar
2021-04-21,27.43,73.48,1.22,96.95,brahmavar
2021-04-22,27.27,75.52,1.29,96.93,brahmavar
2021-04-23,26.84,77.59,1.04,96.95,brahmavar
2021-04-24,27.98,72.53,1.24,96.84,brahmavar
2021-04-25,28.31,72.52,1.09,96.8,brahmavar
