date,taluk,rainfall
2020-09-20,brahmavar,96.07
2020-09-21,brahmavar,27.98
2020-09-22,brahmavar,5.56
2020-09-23,brahmavar,3.96
2020-09-24,brahmavar,2.51
2020-09-25,brahmavar,22.25
2020-09-26,brahmavar,23.24
2020-09-27,brahmavar,1.11
2020-09-28,brahmavar,0.54
2020-09-29,brahmavar,8.59
2020-09-30,brahmavar,2.23
2020-10-01,brahmavar,0.36
2020-10-02,brahmavar,1.62
2020-10-03,brahmavar,1.69
2020-10-04,brahmavar,2.03
2020-10-05,brahmavar,0.78
2020-10-06,brahmavar,6.73
2020-10-07,brahmavar,8.14
2020-10-08,brahmavar,8.66
2020-10-09,brahmavar,5.24
2020-10-10,brahmavar,8.87
2020-10-11,brahmavar,7.73
2020-10-12,brahmavar,18.85
2020-10-13,brahmavar,18.31
2020-10-14,brahmavar,66.34
2020-10-15,brahmavar,8.56
2020-10-16,brahmavar,2.19
2020-10-17,brahmavar,0.33
2020-10-18,brahmavar,1.54
2020-10-19,brahmavar,0.12
2020-10-20,brahmavar,7.39
2020-10-21,brahmavar,22.09
2020-10-22,brahmavar,18.17
2020-10-23,brahmavar,0.89
2020-10-24,brahmavar,4.73
2020-10-25,brahmavar,0.26
2020-10-26,brahmavar,1.81
2020-10-27,brahmavar,1.07
2020-10-28,brahmavar,0.23
2020-10-29,brahmavar,0.09
2020-10-30,brahmavar,0.21
2020-10-31,brahmavar,0.49
2020-11-01,brahmavar,3.25
2020-11-02,brahmavar,0.76
2020-11-03,brahmavar,6.15
2020-11-04,brahmavar,4.09
2020-11-05,brahmavar,5.0
2020-11-06,brahmavar,0.89
2020-11-07,brahmavar,0.12
2020-11-08,brahmavar,0.22
2020-11-09,brahmavar,0.04
2020-11-10,brahmavar,0.0
2020-11-11,brahmavar,0.0
2020-11-12,brahmavar,0.0
2020-11-13,brahmavar,4.76
2020-11-14,brahmavar,0.02
2020-11-15,brahmavar,0.02
2020-11-16,brahmavar,3.55
2020-11-17,brahmavar,2.1
2020-11-18,brahmavar,3.25
2020-11-19,brahmavar,0.66
2020-11-20,brahmavar,0.22
2020-11-21,brahmavar,0.0
2020-11-22,brahmavar,0.0
2020-11-23,brahmavar,0.01
2020-11-24,brahmavar,0.0
2020-11-25,brahmavar,0.0
2020-11-26,brahmavar,0.24
2020-11-27,brahmavar,0.02
2020-11-28,brahmavar,0.0
2020-11-29,brahmavar,0.03
2020-11-30,brahmavar,0.0
2020-12-01,brahmavar,0.0
2020-12-02,brahmavar,0.03
2020-12-03,brahmavar,1.18
2020-12-04,brahmavar,0.05
2020-12-05,brahmavar,0.01
2020-12-06,brahmavar,0.01
2020-12-07,brahmavar,0.31
2020-12-08,brahmavar,3.87
2020-12-09,brahmavar,0.35
2020-12-10,brahmavar,6.08
2020-12-11,brahmavar,1.09
2020-12-12,brahmavar,0.63
2020-12-13,brahmavar,0.33
2020-12-14,brahmavar,0.31
2020-12-15,brahmavar,0.04
2020-12-16,brahmavar,0.0
2020-12-17,brahmavar,0.1
2020-12-18,brahmavar,0.02
2020-12-19,brahmavar,0.0
2020-12-20,brahmavar,0.0
2020-12-21,brahmavar,0.0
2020-12-22,brahmavar,0.0
2020-12-23,brahmavar,0.0
2020-12-24,brahmavar,0.01
2020-12-25,brahmavar,0.04
2020-12-26,brahmavar,0.0
2020-12-27,brahmavar,0.0
2020-12-28,brahmavar,0.0
2020-12-29,brahmavar,0.0
2020-12-30,brahmavar,0.16
2020-12-31,brahmavar,2.45
2021-01-01,brahmavar,0.06
2021-01-02,brahmavar,0.01
2021-01-03,brahmavar,0.11
2021-01-04,brahmavar,2.57
2021-01-05,brahmavar,1.92
2021-01-06,brahmavar,5.64
2021-01-07,brahmavar,4.9
2021-01-08,brahmavar,2.62
2021-01-09,brahmavar,2.36
2021-01-10,brahmavar,0.27
2021-01-11,brahmavar,0.18
2021-01-12,brahmavar,0.03
2021-01-13,brahmavar,0.0
2021-01-14,brahmavar,0.01
2021-01-15,brahmavar,0.18
2021-01-16,brahmavar,3.46
2021-01-17,brahmavar,0.92
2021-01-18,brahmavar,0.43
2021-01-19,brahmavar,0.07
2021-01-20,brahmavar,0.0
2021-01-21,brahmavar,0.0
2021-01-22,brahmavar,0.0
2021-01-23,brahmavar,0.05
2021-01-24,brahmavar,0.04
2021-01-25,brahmavar,0.0
2021-01-26,brahmavar,0.0
2021-01-27,brahmavar,0.01
2021-01-28,brahmavar,0.0
2021-01-29,brahmavar,0.01
2021-01-30,brahmavar,0.0
2021-01-31,brahmavar,0.12
2021-02-01,brahmavar,0.0
2021-02-02,brahmavar,0.0
2021-02-03,brahmavar,0.0
2021-02-04,brahmavar,0.0
2021-02-05,brahmavar,0.01
2021-02-06,brahmavar,0.0
2021-02-07,brahmavar,0.0
2021-02-08,brahmavar,0.0
2021-02-09,brahmavar,0.0
2021-02-10,brahmavar,0.0
2021-02-11,brahmavar,0.0
2021-02-12,brahmavar,0.0
2021-02-13,brahmavar,0.0
2021-02-14,brahmavar,0.01
2021-02-15,brahmavar,0.0
2021-02-16,brahmavar,0.05
2021-02-17,brahmavar,0.09
2021-02-18,brahmavar,0.55
2021-02-19,brahmavar,2.13
2021-02-20,brahmavar,0.19
2021-02-21,brahmavar,0.55
2021-02-22,brahmavar,0.53
2021-02-23,brahmavar,0.32
2021-02-24,brahmavar,0.1
2021-02-25,brahmavar,0.13
2021-02-26,brahmavar,0.01
2021-02-27,brahmavar,0.02
2021-02-28,brahmavar,0.13
2021-03-01,brahmavar,0.4
2021-03-02,brahmavar,0.05
2021-03-03,brahmavar,0.04
2021-03-04,brahmavar,0.01
2021-03-05,brahmavar,0.01
2021-03-06,brahmavar,0.02
2021-03-07,brahmavar,0.0
2021-03-08,brahmavar,0.0
2021-03-09,brahmavar,0.04
2021-03-10,brahmavar,0.01
2021-03-11,brahmavar,1.15
2021-03-12,brahmavar,1.02
2021-03-13,brahmavar,0.18
2021-03-14,brahmavar,0.01
2021-03-15,brahmavar,0.09
2021-03-16,brahmavar,0.11
2021-03-17,brahmavar,0.03
2021-03-18,brahmavar,0.11
2021-03-19,brahmavar,0.0
2021-03-20,brahmavar,0.42
2021-03-21,brahmavar,0.58
2021-03-22,brahmavar,0.31
2021-03-23,brahmavar,0.42
2021-03-24,brahmavar,0.92
2021-03-25,brahmavar,0.33
2021-03-26,brahmavar,0.04
2021-03-27,brahmavar,0.5
2021-03-28,brahmavar,1.25
2021-03-29,brahmavar,4.53
2021-03-30,brahmavar,0.68
2021-03-31,brahmavar,0.65
2021-04-01,brahmavar,0.03
2021-04-02,brahmavar,0.02
2021-04-03,brahmavar,0.15
2021-04-04,brahmavar,0.05
2021-04-05,brahmavar,0.06
2021-04-06,brahmavar,0.55
2021-04-07,brahmavar,1.3
2021-04-08,brahmavar,0.64
2021-04-09,brahmavar,1.07
2021-04-10,brahmavar,0.26
2021-04-11,brahmavar,5.54
2021-04-12,brahmavar,10.28
2021-04-13,brahmavar,9.66
2021-04-14,brahmavar,5.18
2021-04-15,brahmavar,1.67
2021-04-16,brahmavar,1.38
2021-04-17,brahmavar,0.88
2021-04-18,brahmavar,3.7
2021-04-19,brahmavar,0.93
2021-04-20,brahmavar,3.17
2021-04-21,brahmavar,0.68
2021-04-22,brahmavar,4.3
2021-04-23,brahmavar,6.16
2021-04-24,brahmavar,0.42
2021-04-25,brahmavar,2.22
2021-04-26,brahmavar,1.99
2021-04-27,brahmavar,3.9
2021-04-28,brahmavar,0.82
2021-04-29,brahmavar,1.14
2021-04-30,brahmavar,0.6
2021-05-01,brahmavar,6.14
2021-05-02,brahmavar,2.29
2021-05-03,brahmavar,4.81
2021-05-04,brahmavar,2.78
2021-05-05,brahmavar,8.55
2021-05-06,brahmavar,3.98
2021-05-07,brahmavar,7.81
2021-05-08,brahmavar,4.46
2021-05-09,brahmavar,3.32
2021-05-10,brahmavar,4.18
2021-05-11,brahmavar,5.54
2021-05-12,brahmavar,7.23
2021-05-13,brahmavar,7.11
2021-05-14,brahmavar,11.21
2021-05-15,brahmavar,76.69
2021-05-16,brahmavar,18.94
2021-05-17,brahmavar,6.3
2021-05-18,brahmavar,11.98
2021-05-19,brahmavar,6.38
2021-05-20,brahmavar,7.04
2021-05-21,brahmavar,4.09
2021-05-22,brahmavar,9.67
2021-05-23,brahmavar,2.89
2021-05-24,brahmavar,2.81
2021-05-25,brahmavar,17.43
2021-05-26,brahmavar,2.64
2021-05-27,brahmavar,1.06
2021-05-28,brahmavar,3.27
2021-05-29,brahmavar,8.51
2021-05-30,brahmavar,6.39
2021-05-31,brahmavar,10.34
2021-06-01,brahmavar,7.29
2021-06-02,brahmavar,11.16
2021-06-03,brahmavar,33.69
2021-06-04,brahmavar,83.64
2021-06-05,brahmavar,21.51
2021-06-06,brahmavar,2.12
2021-06-07,brahmavar,1.07
2021-06-08,brahmavar,1.24
2021-06-09,brahmavar,5.64
2021-06-10,brahmavar,8.44
2021-06-11,brahmavar,12.87
2021-06-12,brahmavar,73.6
2021-06-13,brahmavar,76.34
2021-06-14,brahmavar,61.0
2021-06-15,brahmavar,124.22
2021-06-16,brahmavar,108.1
2021-06-17,brahmavar,46.03
2021-06-18,brahmavar,20.59
2021-06-19,brahmavar,28.73
2021-06-20,brahmavar,60.9
2021-06-21,brahmavar,10.4
2021-06-22,brahmavar,7.79
2021-06-23,brahmavar,2.84
2021-06-24,brahmavar,1.95
2021-06-25,brahmavar,2.07
2021-06-26,brahmavar,10.81
2021-06-27,brahmavar,16.43
2021-06-28,brahmavar,3.76
2021-06-29,brahmavar,0.34
2021-06-30,brahmavar,0.87
2021-07-01,brahmavar,69.92
2021-07-02,brahmavar,3.07
2021-07-03,brahmavar,23.69
2021-07-04,brahmavar,5.68
2021-07-05,brahmavar,27.65
2021-07-06,brahmavar,6.53
2021-07-07,brahmavar,20.94
2021-07-08,brahmavar,25.29
2021-07-09,brahmavar,53.36
2021-07-10,brahmavar,29.44
2021-07-11,brahmavar,19.73
2021-07-12,brahmavar,22.64
2021-07-13,brahmavar,79.68
2021-07-14,brahmavar,105.43
2021-07-15,brahmavar,66.93
2021-07-16,brahmavar,22.7
2021-07-17,brahmavar,58.35
2021-07-18,brahmavar,149.2
2021-07-19,brahmavar,11.94
2021-07-20,brahmavar,13.58
2021-07-21,brahmavar,46.36
2021-07-22,brahmavar,63.99
2021-07-23,brahmavar,47.06
2021-07-24,brahmavar,11.39
2021-07-25,brahmavar,11.76
2021-07-26,brahmavar,147.39
2021-07-27,brahmavar,6.15
2021-07-28,brahmavar,5.26
2021-07-29,brahmavar,7.24
2021-07-30,brahmavar,4.31
2021-07-31,brahmavar,5.74
2021-08-01,brahmavar,3.35
2021-08-02,brahmavar,4.59
2021-08-03,brahmavar,26.47
2021-08-04,brahmavar,11.1
2021-08-05,brahmavar,84.42
2021-08-06,brahmavar,28.46
2021-08-07,brahmavar,9.18
2021-08-08,brahmavar,25.74
2021-08-09,brahmavar,5.71
2021-08-10,brahmavar,31.39
2021-08-11,brahmavar,14.78
2021-08-12,brahmavar,15.71
2021-08-13,brahmavar,19.26
2021-08-14,brahmavar,3.2
2021-08-15,brahmavar,2.5
2021-08-16,brahmavar,27.9
2021-08-17,brahmavar,5.28
2021-08-18,brahmavar,12.88
2021-08-19,brahmavar,5.6
2021-08-20,brahmavar,24.24
2021-08-21,brahmavar,1.39
2021-08-22,brahmavar,2.6
2021-08-23,brahmavar,24.31
2021-08-24,brahmavar,3.28
2021-08-25,brahmavar,3.59
2021-08-26,brahmavar,85.58
2021-08-27,brahmavar,81.49
2021-08-28,brahmavar,44.11
2021-08-29,brahmavar,33.87
2021-08-30,brahmavar,62.29
2021-08-31,brahmavar,2.06
2021-09-01,brahmavar,5.51
2021-09-02,brahmavar,3.13
2021-09-03,brahmavar,18.17
2021-09-04,brahmavar,14.98
2021-09-05,brahmavar,31.0
2021-09-06,brahmavar,25.99
2021-09-07,brahmavar,33.06
2021-09-08,brahmavar,9.61
2021-09-09,brahmavar,4.29
2021-09-10,brahmavar,4.01
2021-09-11,brahmavar,13.38
2021-09-12,brahmavar,20.94
2021-09-13,brahmavar,23.19
2021-09-14,brahmavar,5.98
2021-09-15,brahmavar,2.47
2021-09-16,brahmavar,1.88
2021-09-17,brahmavar,0.94
2021-09-18,brahmavar,0.65
2021-09-19,brahmavar,0.14
2021-09-20,brahmavar,0.61
2021-09-21,brahmavar,1.4
2021-09-22,brahmavar,5.07
2021-09-23,brahmavar,2.12
2021-09-24,brahmavar,0.82
2021-09-25,brahmavar,0.62
2021-09-26,brahmavar,5.15
2021-09-27,brahmavar,8.3
2021-09-28,brahmavar,6.59
2021-09-29,brahmavar,2.69
2021-09-30,brahmavar,3.14
2021-10-01,brahmavar,12.56
2021-10-02,brahmavar,13.43
2021-10-03,brahmavar,8.22
2021-10-04,brahmavar,28.5
2021-10-05,brahmavar,17.8
2021-10-06,brahmavar,29.96
2021-10-07,brahmavar,1.43
2021-10-08,brahmavar,4.8
2021-10-09,brahmavar,5.4
2021-10-10,brahmavar,15.6
2021-10-11,brahmavar,10.13
2021-10-12,brahmavar,17.87
2021-10-13,brahmavar,14.11
2021-10-14,brahmavar,5.86
2021-10-15,brahmavar,8.56
2021-10-16,brahmavar,16.87
2021-10-17,brahmavar,9.4
2021-10-18,brahmavar,1.32
2021-10-19,brahmavar,0.12
2021-10-20,brahmavar,7.2
2021-10-21,brahmavar,14.51
2021-10-22,brahmavar,10.4
2021-10-23,brahmavar,16.43
2021-10-24,brahmavar,26.63
2021-10-25,brahmavar,6.61
2021-10-26,brahmavar,5.58
2021-10-27,brahmavar,0.22
2021-10-28,brahmavar,0.04
2021-10-29,brahmavar,3.77
2021-10-30,brahmavar,2.66
2021-10-31,brahmavar,6.73
2021-11-01,brahmavar,4.39
2021-11-02,brahmavar,11.03
2021-11-03,brahmavar,9.57
2021-11-04,brahmavar,21.48
2021-11-05,brahmavar,10.46
2021-11-06,brahmavar,7.34
2021-11-07,brahmavar,1.93
2021-11-08,brahmavar,1.43
2021-11-09,brahmavar,0.61
2021-11-10,brahmavar,0.27
2021-11-11,brahmavar,3.94
2021-11-12,brahmavar,4.65
2021-11-13,brahmavar,9.24
2021-11-14,brahmavar,21.86
2021-11-15,brahmavar,11.81
2021-11-16,brahmavar,16.89
2021-11-17,brahmavar,11.34
2021-11-18,brahmavar,15.89
2021-11-19,brahmavar,23.22
2021-11-20,brahmavar,7.41
2021-11-21,brahmavar,4.29
2021-11-22,brahmavar,4.81
2021-11-23,brahmavar,4.83
2021-11-24,brahmavar,4.83
2021-11-25,brahmavar,4.69
2021-11-26,brahmavar,3.54
2021-11-27,brahmavar,0.02
2021-11-28,brahmavar,0.31
2021-11-29,brahmavar,7.83
2021-11-30,brahmavar,4.35
2021-12-01,brahmavar,0.26
2021-12-02,brahmavar,0.82
2021-12-03,brahmavar,0.54
2021-12-04,brahmavar,0.63
2021-12-05,brahmavar,0.36
2021-12-06,brahmavar,0.02
2021-12-07,brahmavar,0.02
2021-12-08,brahmavar,0.0
2021-12-09,brahmavar,0.01
2021-12-10,brahmavar,0.8
2021-12-11,brahmavar,0.0
2021-12-12,brahmavar,0.0
2021-12-13,brahmavar,0.0
2021-12-14,brahmavar,0.03
2021-12-15,brahmavar,0.03
2021-12-16,brahmavar,0.04
2021-12-17,brahmavar,0.0
2021-12-18,brahmavar,0.0
2021-12-19,brahmavar,0.0
2021-12-20,brahmavar,0.0
2021-12-21,brahmavar,0.0
2021-12-22,brahmavar,0.0
2021-12-23,brahmavar,0.0
2021-12-24,brahmavar,0.01
2021-12-25,brahmavar,0.0
2021-12-26,brahmavar,0.0
2021-12-27,brahmavar,0.02
2021-12-28,brahmavar,0.02
2021-12-29,brahmavar,0.0
2021-12-30,brahmavar,0.0
2021-12-31,brahmavar,0.02
2022-01-01,brahmavar,0.01
2022-01-02,brahmavar,0.0
2022-01-03,brahmavar,0.0
2022-01-04,brahmavar,0.0
2022-01-05,brahmavar,0.0
2022-01-06,brahmavar,0.0
2022-01-07,brahmavar,0.0
2022-01-08,brahmavar,0.03
2022-01-09,brahmavar,0.0
2022-01-10,brahmavar,0.0
2022-01-11,brahmavar,0.0
2022-01-12,brahmavar,0.0
2022-01-13,brahmavar,0.0
2022-01-14,brahmavar,0.0
2022-01-15,brahmavar,0.0
2022-01-16,brahmavar,0.0
2022-01-17,brahmavar,0.01
2022-01-18,brahmavar,0.0
2022-01-19,brahmavar,0.0
2022-01-20,brahmavar,0.0
2022-01-21,brahmavar,0.0
2022-01-22,brahmavar,0.06
2022-01-23,brahmavar,0.15
2022-01-24,brahmavar,0.04
2022-01-25,brahmavar,0.0
2022-01-26,brahmavar,0.0
2022-01-27,brahmavar,0.01
2022-01-28,brahmavar,0.0
2022-01-29,brahmavar,0.0
2022-01-30,brahmavar,0.0
2022-01-31,brahmavar,0.0
2022-02-01,brahmavar,0.0
2022-02-02,brahmavar,0.0
2022-02-03,brahmavar,0.0
2022-02-04,brahmavar,0.03
2022-02-05,brahmavar,0.0
2022-02-06,brahmavar,0.0
2022-02-07,brahmavar,0.0
2022-02-08,brahmavar,0.0
2022-02-09,brahmavar,0.01
2022-02-10,brahmavar,0.0
2022-02-11,brahmavar,0.0
2022-02-12,brahmavar,0.0
2022-02-13,brahmavar,0.0
2022-02-14,brahmavar,0.01
2022-02-15,brahmavar,0.0
2022-02-16,brahmavar,0.03
2022-02-17,brahmavar,0.0
2022-02-18,brahmavar,0.0
2022-02-19,brahmavar,0.0
2022-02-20,brahmavar,0.0
2022-02-21,brahmavar,0.0
2022-02-22,brahmavar,0.0
2022-02-23,brahmavar,0.0
2022-02-24,brahmavar,0.0
2022-02-25,brahmavar,0.0
2022-02-26,brahmavar,0.0
2022-02-27,brahmavar,0.0
2022-02-28,brahmavar,0.0
2022-03-01,brahmavar,0.01
2022-03-02,brahmavar,0.0
2022-03-03,brahmavar,0.0
2022-03-04,brahmavar,0.0
2022-03-05,brahmavar,0.0
2022-03-06,brahmavar,0.0
2022-03-07,brahmavar,0.0
2022-03-08,brahmavar,0.42
2022-03-09,brahmavar,2.55
2022-03-10,brahmavar,0.61
2022-03-11,brahmavar,0.02
2022-03-12,brahmavar,0.12
2022-03-13,brahmavar,0.0
2022-03-14,brahmavar,0.0
2022-03-15,brahmavar,0.14
2022-03-16,brahmavar,0.04
2022-03-17,brahmavar,0.22
2022-03-18,brahmavar,0.6
2022-03-19,brahmavar,1.63
2022-03-20,brahmavar,0.92
2022-03-21,brahmavar,1.09
2022-03-22,brahmavar,0.39
2022-03-23,brahmavar,8.04
2022-03-24,brahmavar,2.85
2022-03-25,brahmavar,1.26
2022-03-26,brahmavar,3.78
2022-03-27,brahmavar,1.12
2022-03-28,brahmavar,0.7
2022-03-29,brahmavar,3.63
2022-03-30,brahmavar,1.29
2022-03-31,brahmavar,0.74
2022-04-01,brahmavar,1.43
